movimiento_id,buque_id,matricula,radar_id,muelle,tipo_carga,origen,fecha_ingreso,hora_ingreso,fecha_egreso,hora_egreso,tonelaje_declarado,velocidad_ingreso,velocidad_maxima_muelle,estado_despacho,duracion_horas
MOV-00178,B-022,CMA-LITORAL,R-07,MUELLE-F,GRANOS,VALPARAISO,2023-11-04,10:51,2023-11-06,00:00,4780.6,11.8,15,EN_REVISION,37.15
MOV-00179,B-024,CMA-LITORAL,,MUELLE-B,HARINA,MONTEVIDEO,2020-07-08,14:32,2020-07-08,23:40,4766.89,12.6,10,DESPACHADO,9.133333333333333
MOV-00180,B-008,MSC-GENOVA,R-05,MUELLE-A,SOJA,SHANGHAI,2024-03-06,09:01,2024-03-08,07:55,5429.51,11.1,15,RECHAZADO,46.9
MOV-00181,B-019,PIL-OESTE,R-04,MUELLE-B,SOJA,VALPARAISO,2022-08-22,21:03,2022-08-23,01:25,4625.31,11.8,10,EN_REVISION,4.366666666666666
MOV-00182,B-006,CMA-LITORAL,R-02,MUELLE-D,HARINA,HAMBURG,2021-06-12,11:25,2021-06-13,19:00,5098.03,14.1,15,RECHAZADO,31.583333333333332
MOV-00183,B-005,YANG-MING,R-08,MUELLE-D,CONTENEDORES,SAO PAULO,2020-05-15,10:13,2020-05-17,00:00,1905.72,9.6,12,PENDIENTE,37.78333333333333
MOV-00184,B-007,YANG-ESTE,R-07,MUELLE-C,MINERALES,SANTA FE,2024-03-26,20:51,2024-03-27,22:04,5132.64,13.6,15,DESPACHADO,25.216666666666665
MOV-00185,B-040,ONE-PLATA,R-07,MUELLE-B,HARINA,SANTA FE,2023-12-11,17:52,2023-12-13,00:00,7558.47,7.4,10,EN_REVISION,30.133333333333333
MOV-00187,B-003,EVER-GLORY,R-08,MUELLE-F,ACEITE,BUENOS AIRES,2024-02-06,16:54,2024-02-08,00:00,5476.14,11.7,15,RECHAZADO,31.1
MOV-00188,B-022,MAERSKPAMPAS,R-06,MUELLE-C,HARINA,MONTEVIDEO,2024-01-28,18:16,2024-01-29,00:00,4451.99,8.2,12,DESPACHADO,5.733333333333333
MOV-00189,B-039,HAPAG-RIO,R-03,MUELLE-F,MINERALES,SHANGHAI,2021-01-05,16:55,2021-01-06,00:00,4868.31,16.6,12,PENDIENTE,7.083333333333333
MOV-00190,B-011,CMA-LITORAL,R-07,MUELLE-D,HARINA,HAMBURG,2021-06-21,04:33,2021-06-23,07:52,3633.6,15.2,12,PENDIENTE,51.31666666666667
MOV-00191,B-038,COSCO-TIGRE,R-08,MUELLE-F,TRIGO,SAO PAULO,1900-01-01,00:43,2023-01-26,10:52,3336.38,3.5,12,EN_REVISION,
MOV-00192,B-039,CMA-ROSARIO,R-07,MUELLE-F,MAIZ,BUENOS AIRES,2023-08-01,14:59,2023-08-03,22:58,4971.79,15.4,10,PENDIENTE,55.983333333333334
MOV-00194,B-015,MSC-GENOVA,R-07,MUELLE-F,MINERALES,BUENOS AIRES,2023-07-18,20:05,2023-07-20,00:00,4489.78,14.2,10,EN_REVISION,27.916666666666668
MOV-00195,B-009,EVER-GLORY,R-04,MUELLE-A,TRIGO,HAMBURG,1900-01-01,17:53,2022-10-23,00:00,6380.91,13.4,12,RECHAZADO,
MOV-00196,B-002,HAPAG-SUR,R-01,MUELLE-B,MAIZ,SANTA FE,2022-07-23,19:10,2022-07-24,00:00,3250.96,7.2,10,PENDIENTE,4.833333333333333
MOV-00198,B-009,ONE-PARANA,R-03,MUELLE-F,HARINA,HAMBURG,2020-03-18,19:11,2020-03-21,05:37,5050.15,13.9,15,RECHAZADO,58.43333333333333
MOV-00199,B-008,CMA-ROSARIO,R-08,MUELLE-D,MAIZ,MONTEVIDEO,2022-06-09,08:21,2022-06-11,00:00,6076.86,13.0,10,DESPACHADO,39.65
MOV-00200,B-027,ONEPARANA,R-07,MUELLE-B,SOJA,HAMBURG,2023-06-02,14:11,2023-06-04,17:01,6209.9,13.1,10,RECHAZADO,50.833333333333336
MOV-00201,B-040,HAPAG-RIO,R-04,MUELLE-A,CONTENEDORES,HAMBURG,2020-01-30,23:27,2020-02-01,01:35,3082.43,8.9,12,PENDIENTE,26.133333333333333
MOV-00203,B-019,MAERSK-PAMPAS,R-05,MUELLE-F,TRIGO,BUENOS AIRES,2022-01-15,01:07,2022-01-17,00:00,4964.0,11.0,15,EN_REVISION,46.88333333333333
MOV-00204,B-015,MSC-ALPHA,R-06,MUELLE-C,CONTENEDORES,VALPARAISO,2022-10-23,16:53,2022-10-24,00:00,6017.96,13.1,12,DESPACHADO,7.116666666666666
MOV-00205,B-011,PIL-SANTA,R-02,MUELLE-F,MAIZ,HAMBURG,2020-02-16,00:00,2020-02-17,23:28,6029.02,9.4,15,PENDIENTE,47.46666666666667
MOV-00206,B-030,YANG-MING,R-03,MUELLE-C,MAIZ,VALPARAISO,2020-10-30,11:18,2020-11-02,07:21,1826.69,12.8,10,PENDIENTE,68.05
MOV-00207,B-021,EVERGREEN-02,R-03,MUELLE-C,MINERALES,MONTEVIDEO,2024-04-22,04:29,2024-04-24,13:23,5194.81,12.5,12,EN_REVISION,56.9
MOV-00208,B-003,CMA-ROSARIO,R-02,MUELLE-C,GRANOS,ROTTERDAM,2023-05-30,20:12,2023-06-02,00:00,4501.51,12.4,10,PENDIENTE,51.8
MOV-00209,B-024,COSCO-TIGRE,R-06,MUELLE-A,HARINA,SHANGHAI,2020-06-28,06:46,2020-06-30,00:00,4534.82,15.0,15,EN_REVISION,41.233333333333334
MOV-00210,B-025,COSCO-STAR,R-01,MUELLE-D,HARINA,ROTTERDAM,2021-02-12,05:53,2021-02-14,00:00,3226.17,10.4,10,PENDIENTE,42.11666666666667
MOV-00211,B-016,MSC-GENOVA,,MUELLE-C,MINERALES,BUENOS AIRES,2023-07-10,21:30,2023-07-11,08:15,3647.14,10.1,12,EN_REVISION,10.75
MOV-00212,B-005,ONE-PLATA,R-04,MUELLE-F,MAIZ,BUENOS AIRES,2024-06-26,09:17,1900-01-01,00:00,2656.02,10.3,15,PENDIENTE,
MOV-00213,B-035,ZIM-NORTE,R-02,MUELLE-D,MINERALES,BUENOS AIRES,2021-12-14,09:44,2021-12-16,00:00,6140.31,5.8,12,DESPACHADO,38.266666666666666
MOV-00214,B-008,COSCO-STAR,R-01,MUELLE-D,CONTENEDORES,SANTA FE,2023-04-29,01:30,1900-01-01,00:00,6659.65,15.3,15,PENDIENTE,
MOV-00215,B-040,ZIM-DELTA,R-02,MUELLE-A,GRANOS,SAO PAULO,2020-01-09,23:06,2020-01-11,00:00,5718.25,11.6,15,PENDIENTE,24.9
MOV-00217,B-038,MAERSK-LIMA,R-03,MUELLE-A,ACEITE,SAO PAULO,2020-09-08,07:53,2020-09-10,11:43,5711.2,17.5,12,EN_REVISION,51.833333333333336
MOV-00219,B-008,COSCO-TIGRE,R-08,MUELLE-C,CONTENEDORES,HAMBURG,2024-10-28,09:56,2024-10-29,06:23,5729.66,12.4,15,RECHAZADO,20.45
MOV-00224,B-028,EVER-GLORY,R-04,MUELLE-B,HARINA,MONTEVIDEO,2023-02-01,05:41,2023-02-01,14:22,4885.84,17.4,15,DESPACHADO,8.683333333333334
MOV-00225,B-033,MAERSK-LIMA,R-05,MUELLE-D,SOJA,SAO PAULO,2024-02-18,12:51,2024-02-19,17:26,5151.1,9.4,15,DESPACHADO,28.583333333333332
MOV-00226,B-031,EVERGREEN-02,R-05,MUELLE-A,GRANOS,SANTA FE,2023-12-05,11:57,1900-01-01,00:00,4977.84,15.0,15,PENDIENTE,
MOV-00227,B-003,PILSANTA,R-02,MUELLE-D,MINERALES,ROTTERDAM,2024-08-15,05:44,2024-08-16,00:00,4500.33,6.0,10,EN_REVISION,18.266666666666666
MOV-00228,B-011,ZIM-DELTA,R-03,MUELLE-E,CONTENEDORES,SHANGHAI,2020-12-21,21:37,2020-12-23,00:00,3061.88,12.7,12,RECHAZADO,26.383333333333333
MOV-00229,B-026,YANG-ESTE,R-07,MUELLE-E,HARINA,MONTEVIDEO,2020-08-28,00:45,2020-08-30,06:24,5707.51,11.5,15,DESPACHADO,53.65
MOV-00230,B-027,HAPAG-RIO,R-07,MUELLE-B,GRANOS,VALPARAISO,2022-01-27,18:43,2022-01-30,23:49,5119.68,15.3,10,EN_REVISION,77.1
MOV-00231,B-039,EVER-GLORY,R-01,MUELLE-C,CONTENEDORES,VALPARAISO,2020-03-25,18:11,2020-03-27,11:54,4696.55,10.6,15,RECHAZADO,41.71666666666667
MOV-00232,B-017,ONE-PLATA,R-06,MUELLE-D,MAIZ,SHANGHAI,2023-07-27,14:03,2023-07-28,03:11,5058.98,10.3,15,RECHAZADO,13.133333333333333
MOV-00235,B-020,HAPAG-SUR,R-07,MUELLE-F,HARINA,MONTEVIDEO,2021-02-13,15:28,2021-02-15,18:05,3852.51,7.1,15,EN_REVISION,50.61666666666667
MOV-00236,B-019,CMA-LITORAL,R-07,MUELLE-A,MINERALES,VALPARAISO,2024-09-19,07:33,2024-09-21,10:20,6813.28,11.5,12,PENDIENTE,50.78333333333333
MOV-00238,B-026,YANG-MING,R-02,MUELLE-B,MAIZ,SANTA FE,2024-10-25,00:13,2024-10-27,23:34,5163.81,12.3,10,PENDIENTE,71.35
MOV-00239,B-013,YANG-MING,R-07,MUELLE-A,ACEITE,SANTA FE,2024-10-03,15:47,2024-10-05,15:02,3705.46,8.5,12,DESPACHADO,47.25
MOV-00240,B-040,EVERGREEN-02,R-08,MUELLE-F,CONTENEDORES,SANTA FE,2022-06-16,07:32,2022-06-17,22:06,4814.52,13.9,12,PENDIENTE,38.56666666666667
MOV-00241,B-006,HAPAG-SUR,R-03,MUELLE-B,TRIGO,MONTEVIDEO,2021-09-13,07:13,2021-09-13,00:00,6002.7,13.8,12,RECHAZADO,
MOV-00242,B-036,PIL-SANTA,R-03,MUELLE-F,SOJA,SANTA FE,2020-08-04,19:39,2020-08-05,19:27,5932.18,4.7,10,RECHAZADO,23.8
MOV-00244,B-011,MAERSKPAMPAS,R-01,MUELLE-D,GRANOS,MONTEVIDEO,2024-11-28,16:18,2024-12-01,00:00,8324.78,10.8,15,DESPACHADO,55.7
MOV-00245,B-023,COSCO-TIGRE,R-04,MUELLE-C,SOJA,SANTA FE,2022-12-01,00:00,2022-12-03,17:16,3527.05,15.0,10,EN_REVISION,65.26666666666667
MOV-00246,B-004,MAERSK-LIMA,R-08,MUELLE-C,GRANOS,HAMBURG,2023-03-04,22:57,2023-03-07,00:00,7158.69,11.4,15,EN_REVISION,49.05
MOV-00247,B-006,EVER-GLORY,R-07,MUELLE-B,MINERALES,SAO PAULO,2023-04-19,17:33,2023-04-21,00:01,6590.95,14.1,12,RECHAZADO,30.466666666666665
MOV-00248,B-003,HAPAG-RIO,R-06,MUELLE-A,CONTENEDORES,BUENOS AIRES,2020-11-09,03:23,2020-11-10,00:00,4322.59,13.8,15,DESPACHADO,20.616666666666667
MOV-00250,B-036,COSCO-STAR,R-04,MUELLE-E,GRANOS,SAO PAULO,2022-12-25,05:01,2022-12-26,01:14,4767.09,12.0,15,RECHAZADO,20.216666666666665
MOV-00251,B-007,ZIM-NORTE,R-03,MUELLE-C,MAIZ,MONTEVIDEO,2023-10-21,05:03,2023-10-23,17:43,5079.71,10.3,12,EN_REVISION,60.666666666666664
MOV-00252,B-021,CMA-LITORAL,R-07,MUELLE-A,MINERALES,SANTA FE,2021-07-05,17:37,2021-07-06,00:00,3225.04,7.1,10,,6.383333333333334
MOV-00253,B-030,YANG-ESTE,R-05,MUELLE-F,MAIZ,SANTA FE,2021-05-28,21:24,2021-05-30,12:38,6258.33,10.6,15,DESPACHADO,39.233333333333334
MOV-00254,B-022,PIL-SANTA,R-08,MUELLE-C,TRIGO,SHANGHAI,1900-01-01,22:08,2020-02-03,19:49,5742.74,19.4,12,EN_REVISION,
MOV-00255,B-025,YANG-ESTE,,MUELLE-D,MAIZ,SANTA FE,2020-01-20,07:47,2020-01-20,00:00,2261.35,13.6,12,DESPACHADO,
MOV-00256,B-008,PIL-SANTA,R-08,MUELLE-B,TRIGO,MONTEVIDEO,2021-06-15,00:00,2021-06-17,09:19,3310.51,9.4,10,DESPACHADO,57.31666666666667
MOV-00257,B-018,MAERSK-LIMA,R-08,MUELLE-D,ACEITE,SANTA FE,2022-07-08,10:00,2022-07-10,08:37,7570.29,14.0,15,PENDIENTE,46.61666666666667
MOV-00258,B-022,PIL-SANTA,R-04,MUELLE-A,MINERALES,SAO PAULO,2024-06-14,07:04,2024-06-16,00:00,6104.19,7.2,15,EN_REVISION,40.93333333333333
MOV-00259,B-019,COSCO-TIGRE,R-07,MUELLE-A,CONTENEDORES,SAO PAULO,2024-12-07,19:39,2024-12-08,12:41,3716.45,13.0,12,DESPACHADO,17.033333333333335
MOV-00260,B-016,CMA-ROSARIO,R-01,MUELLE-A,MAIZ,VALPARAISO,2021-09-29,00:00,2021-09-30,00:00,3263.07,11.6,12,RECHAZADO,24.0
MOV-00262,B-024,EVER-GLORY,R-01,MUELLE-B,TRIGO,VALPARAISO,2021-11-26,17:15,2021-11-27,06:07,5181.36,14.3,10,PENDIENTE,12.866666666666667
MOV-00263,B-028,COSCO-STAR,R-02,MUELLE-B,MAIZ,SAO PAULO,2023-05-12,13:40,2023-05-14,00:00,3190.89,11.1,12,PENDIENTE,34.333333333333336
MOV-00264,B-011,ONE-PLATA,R-07,MUELLE-F,ACEITE,HAMBURG,2023-11-23,15:45,2023-11-26,18:11,5817.49,16.3,15,RECHAZADO,74.43333333333334
MOV-00266,B-020,PIL-SANTA,R-04,MUELLE-F,MAIZ,VALPARAISO,2024-05-22,12:25,2024-05-22,00:00,5122.85,9.6,12,DESPACHADO,
MOV-00268,B-025,ONE-PARANA,R-07,MUELLE-A,CONTENEDORES,SAO PAULO,2023-08-01,09:05,2023-08-02,02:32,6208.92,14.5,12,RECHAZADO,17.45
MOV-00269,B-027,COSCO-TIGRE,R-03,MUELLE-A,MAIZ,ROTTERDAM,2020-09-23,06:19,2020-09-25,00:00,4948.7,9.0,10,RECHAZADO,41.68333333333333
MOV-00270,B-030,PIL-OESTE,R-01,MUELLE-F,SOJA,VALPARAISO,2022-03-11,19:52,2022-03-12,22:17,3681.56,16.7,12,RECHAZADO,26.416666666666668
MOV-00271,B-014,HAPAG-SUR,R-07,MUELLE-E,SOJA,SHANGHAI,2022-04-19,14:10,2022-04-21,03:40,5048.21,8.4,12,DESPACHADO,37.5
MOV-00273,B-007,COSCO-TIGRE,R-05,MUELLE-D,GRANOS,SANTA FE,2022-02-06,00:00,2022-02-06,19:51,5287.5,6.9,10,DESPACHADO,19.85
MOV-00274,B-013,YANG-ESTE,R-04,MUELLE-E,CONTENEDORES,ROTTERDAM,2020-12-21,00:25,2020-12-22,00:00,5062.63,13.4,12,DESPACHADO,23.583333333333332
MOV-00275,B-017,MAERSK-LIMA,R-06,MUELLE-F,CONTENEDORES,MONTEVIDEO,2021-10-13,21:30,2021-10-14,00:00,5918.93,16.5,15,EN_REVISION,2.5
MOV-00276,B-019,ONE-PARANA,R-03,MUELLE-D,TRIGO,SANTA FE,2024-02-22,10:08,2024-02-24,00:00,6436.2,10.1,12,PENDIENTE,37.86666666666667
MOV-00277,B-015,YANG-ESTE,R-07,MUELLE-E,ACEITE,MONTEVIDEO,2020-05-23,06:03,2020-05-24,00:00,4699.31,11.2,12,RECHAZADO,17.95
MOV-00278,B-031,COSCO-STAR,R-06,MUELLE-D,CONTENEDORES,MONTEVIDEO,2022-06-06,04:52,2022-06-08,11:13,3671.8,13.3,15,RECHAZADO,54.35
MOV-00279,B-010,ONE-PARANA,R-01,MUELLE-A,ACEITE,HAMBURG,2022-02-03,12:31,2022-02-05,03:09,7544.0,8.8,15,RECHAZADO,38.63333333333333
MOV-00280,B-028,ZIM-DELTA,R-04,MUELLE-D,GRANOS,SHANGHAI,2023-05-24,00:00,2023-05-25,00:00,4440.04,7.9,12,DESPACHADO,24.0
MOV-00281,B-035,COSCO-TIGRE,R-05,MUELLE-F,CONTENEDORES,BUENOS AIRES,2024-07-25,00:00,2024-07-26,14:51,3637.45,8.1,12,DESPACHADO,38.85
MOV-00283,B-001,COSCO-TIGRE,R-05,MUELLE-D,MINERALES,SHANGHAI,2021-10-07,07:23,2021-10-09,13:43,4060.33,15.9,12,RECHAZADO,54.333333333333336
MOV-00284,B-031,ONE-PLATA,R-07,MUELLE-F,TRIGO,SANTA FE,2024-07-11,23:20,2024-07-14,12:25,6127.94,12.3,10,EN_REVISION,61.083333333333336
MOV-00285,B-033,EVERGLORY,R-03,MUELLE-D,SOJA,VALPARAISO,2022-09-14,21:34,2022-09-16,01:40,5642.51,14.8,10,RECHAZADO,28.1
MOV-00286,B-035,HAPAG-SUR,R-02,MUELLE-F,ACEITE,SAO PAULO,2024-03-01,23:46,2024-03-04,05:48,4278.62,9.7,15,DESPACHADO,54.03333333333333
MOV-00288,B-018,PIL-OESTE,R-08,MUELLE-F,TRIGO,HAMBURG,2020-11-08,22:13,2020-11-10,17:17,4668.42,9.2,12,EN_REVISION,43.06666666666667
MOV-00289,B-019,YANG-MING,R-04,MUELLE-F,CONTENEDORES,BUENOS AIRES,2024-10-06,22:19,2024-10-09,00:00,4054.49,16.8,10,PENDIENTE,49.68333333333333
MOV-00290,B-011,EVER-GLORY,R-02,MUELLE-C,MINERALES,MONTEVIDEO,2023-04-30,13:09,2023-05-02,23:55,6069.33,14.4,12,,58.766666666666666
MOV-00291,B-008,COSCO-STAR,R-02,MUELLE-D,TRIGO,SANTA FE,2021-01-05,12:30,2021-01-07,14:43,4705.22,16.9,15,RECHAZADO,50.21666666666667
MOV-00292,B-014,MAERSK-LIMA,R-03,MUELLE-E,MAIZ,SANTA FE,2023-03-23,06:41,2023-03-24,02:10,5191.91,10.5,10,RECHAZADO,19.483333333333334
MOV-00293,B-032,MSC-ALPHA,R-06,MUELLE-E,TRIGO,BUENOS AIRES,2024-10-19,06:08,2024-10-20,01:21,5062.71,13.9,12,DESPACHADO,19.216666666666665
MOV-00295,B-020,PIL-OESTE,R-08,MUELLE-A,ACEITE,VALPARAISO,2021-10-13,12:11,2021-10-15,00:00,3004.71,8.0,10,EN_REVISION,35.81666666666667
MOV-00296,B-016,YANG-ESTE,R-07,MUELLE-F,MINERALES,MONTEVIDEO,2021-08-10,08:27,2021-08-13,14:27,7139.83,11.5,15,RECHAZADO,78.0
MOV-00297,B-001,MAERSK-PAMPAS,R-03,MUELLE-D,MINERALES,BUENOS AIRES,2020-01-15,22:27,2020-01-18,00:00,5776.47,12.2,15,RECHAZADO,49.55
MOV-00299,B-020,EVERGREEN-02,R-02,MUELLE-A,ACEITE,MONTEVIDEO,2021-02-08,02:33,1900-01-01,18:24,4661.29,13.1,12,RECHAZADO,
MOV-00300,B-001,EVERGREEN-02,R-04,MUELLE-A,TRIGO,VALPARAISO,2020-03-05,05:42,2020-03-06,03:50,5837.47,14.3,12,DESPACHADO,22.133333333333333
MOV-00301,B-009,CMA-ROSARIO,R-06,MUELLE-E,GRANOS,SAO PAULO,2024-02-19,00:27,2024-02-21,08:19,4521.89,9.5,15,DESPACHADO,55.86666666666667
MOV-00302,B-012,ONE-PARANA,R-03,MUELLE-B,SOJA,MONTEVIDEO,2022-05-23,00:39,2022-05-24,00:00,8552.11,14.2,10,RECHAZADO,23.35
MOV-00303,B-003,MSC-GENOVA,R-01,MUELLE-F,ACEITE,SAO PAULO,2022-06-01,05:16,1900-01-01,00:00,2416.08,13.1,10,EN_REVISION,
MOV-00304,B-039,MAERSK-LIMA,R-01,MUELLE-E,TRIGO,SAO PAULO,2023-06-21,10:19,2023-06-24,00:00,5422.52,11.5,15,RECHAZADO,61.68333333333333
MOV-00307,B-021,EVER-GLORY,R-01,MUELLE-C,TRIGO,VALPARAISO,2024-11-12,18:06,2024-11-14,20:59,4991.99,12.5,15,PENDIENTE,50.88333333333333
MOV-00310,B-025,MAERSK-LIMA,R-08,MUELLE-B,SOJA,SAO PAULO,2023-06-14,10:07,2023-06-16,07:50,5940.1,11.3,10,DESPACHADO,45.71666666666667
MOV-00311,B-005,MSC-GENOVA,R-03,MUELLE-F,MAIZ,SHANGHAI,2024-07-26,02:07,2024-07-28,00:00,3517.3,15.0,12,PENDIENTE,45.88333333333333
MOV-00312,B-035,HAPAG-SUR,R-04,MUELLE-D,SOJA,ROTTERDAM,2021-02-20,00:23,2021-02-22,04:49,4744.74,9.9,10,PENDIENTE,52.43333333333333
MOV-00313,B-010,COSCO-TIGRE,R-01,MUELLE-F,CONTENEDORES,SHANGHAI,2022-09-03,19:55,2022-09-04,00:00,4468.1,7.8,10,DESPACHADO,4.083333333333333
MOV-00314,B-019,MAERSK-LIMA,R-03,MUELLE-A,GRANOS,MONTEVIDEO,2024-11-28,14:35,2024-11-30,00:00,7263.85,12.4,15,PENDIENTE,33.416666666666664
MOV-00316,B-031,EVER-GLORY,R-01,MUELLE-C,SOJA,VALPARAISO,2022-10-21,06:20,2022-10-23,00:00,6988.03,11.4,12,DESPACHADO,41.666666666666664
MOV-00318,B-011,YANG-MING,R-03,MUELLE-A,HARINA,SHANGHAI,2021-06-12,15:16,2021-06-15,00:00,5638.67,13.0,12,EN_REVISION,56.733333333333334
MOV-00319,B-003,YANG-ESTE,R-01,MUELLE-F,TRIGO,SANTA FE,2023-03-13,12:54,2023-03-14,17:47,5599.92,10.0,10,PENDIENTE,28.883333333333333
MOV-00320,B-014,HAPAGSUR,R-02,MUELLE-C,MINERALES,SANTA FE,2021-10-17,18:02,2021-10-19,00:00,5638.09,11.5,10,PENDIENTE,29.966666666666665
MOV-00322,B-021,MSCGENOVA,R-03,MUELLE-D,MAIZ,HAMBURG,2021-06-22,16:46,2021-06-22,10:35,7401.79,17.2,12,EN_REVISION,
MOV-00323,B-001,EVERGREEN-02,R-06,MUELLE-A,HARINA,VALPARAISO,2022-04-27,13:22,2022-04-29,11:47,4456.39,7.9,12,DESPACHADO,46.416666666666664
MOV-00324,B-007,COSCO-STAR,R-02,MUELLE-A,GRANOS,ROTTERDAM,1900-01-01,20:28,2020-07-26,00:19,2997.39,12.1,15,,
MOV-00325,B-024,ZIM-DELTA,R-05,MUELLE-C,HARINA,VALPARAISO,2020-03-07,00:01,2020-03-07,00:00,4949.23,11.8,12,RECHAZADO,
MOV-00326,B-012,COSCO-TIGRE,R-06,MUELLE-E,MAIZ,ROTTERDAM,2020-08-30,20:36,2020-09-02,00:00,6748.3,15.2,15,PENDIENTE,51.4
MOV-00327,B-030,EVERGREEN-02,R-03,MUELLE-B,TRIGO,VALPARAISO,2024-04-26,08:42,2024-04-26,00:00,4122.0,11.5,12,PENDIENTE,
MOV-00329,B-033,CMA-ROSARIO,R-04,MUELLE-C,SOJA,SAO PAULO,2023-11-17,04:17,2023-11-18,00:00,4604.23,13.9,15,DESPACHADO,19.716666666666665
MOV-00331,B-021,MAERSK-PAMPAS,R-03,MUELLE-C,TRIGO,BUENOS AIRES,2020-09-07,00:20,2020-09-07,00:00,4361.23,9.6,12,PENDIENTE,
MOV-00334,B-004,PIL-SANTA,R-01,MUELLE-A,GRANOS,VALPARAISO,2021-07-06,22:10,2021-07-07,00:00,4842.24,16.6,12,DESPACHADO,1.8333333333333333
MOV-00335,B-019,COSCO-STAR,R-06,MUELLE-E,TRIGO,SAO PAULO,2020-01-27,21:13,2020-01-30,02:28,6248.54,13.6,10,DESPACHADO,53.25
MOV-00336,B-033,ONE-PARANA,R-07,MUELLE-B,SOJA,VALPARAISO,2023-08-20,00:00,2023-08-22,00:00,5527.75,14.2,15,RECHAZADO,48.0
MOV-00337,B-007,EVERGLORY,R-07,MUELLE-F,CONTENEDORES,SAO PAULO,2022-12-20,19:31,2022-12-23,00:00,5277.83,13.7,12,EN_REVISION,52.483333333333334
MOV-00340,B-039,HAPAG-SUR,R-02,MUELLE-C,GRANOS,MONTEVIDEO,2022-01-01,15:01,2022-01-03,05:40,6090.45,8.5,10,RECHAZADO,38.65
MOV-00341,B-022,COSCO-TIGRE,,MUELLE-C,HARINA,SAO PAULO,2020-09-08,00:00,2020-09-11,05:13,3361.35,9.8,15,DESPACHADO,77.21666666666667
MOV-00342,B-038,MAERSK-LIMA,R-01,MUELLE-D,HARINA,SANTA FE,2021-05-29,04:22,2021-05-30,17:16,3637.09,16.6,10,RECHAZADO,36.9
MOV-00343,B-007,PIL-SANTA,R-05,MUELLE-E,HARINA,MONTEVIDEO,2020-10-12,21:49,2020-10-14,00:00,4542.68,9.6,15,RECHAZADO,26.183333333333334
MOV-00344,B-030,MAERSK-PAMPAS,R-07,MUELLE-D,GRANOS,SANTA FE,2024-05-30,07:37,2024-06-02,09:26,5561.19,12.9,12,RECHAZADO,73.81666666666666
MOV-00345,B-019,PIL-OESTE,R-08,MUELLE-F,ACEITE,SANTA FE,2024-01-08,01:44,2024-01-09,07:56,4892.45,7.5,15,DESPACHADO,30.2
MOV-00346,B-016,ONE-PARANA,R-02,MUELLE-D,GRANOS,HAMBURG,2022-09-17,05:52,2022-09-18,00:00,5574.62,12.5,12,RECHAZADO,18.133333333333333
MOV-00348,B-014,EVERGREEN-02,R-07,MUELLE-E,SOJA,MONTEVIDEO,2022-07-30,22:54,2022-07-31,17:15,3857.73,15.8,12,PENDIENTE,18.35
MOV-00349,B-040,COSCO-TIGRE,R-02,MUELLE-A,GRANOS,MONTEVIDEO,2022-09-02,10:48,2022-09-03,00:00,5467.24,12.8,15,PENDIENTE,13.2
MOV-00351,B-034,HAPAG-SUR,R-04,MUELLE-B,MINERALES,SHANGHAI,2024-06-29,02:28,2024-07-01,00:00,3871.12,9.4,10,EN_REVISION,45.53333333333333
MOV-00352,B-019,COSCO-STAR,R-04,MUELLE-E,HARINA,ROTTERDAM,2022-08-22,08:41,2022-08-22,12:58,2573.96,10.2,15,DESPACHADO,4.283333333333333
MOV-00353,B-003,EVERGREEN-02,R-02,MUELLE-D,SOJA,HAMBURG,2022-10-14,00:00,2022-10-16,00:00,4954.97,12.9,10,PENDIENTE,48.0
MOV-00355,B-019,CMA-ROSARIO,R-07,MUELLE-D,SOJA,BUENOS AIRES,2023-12-15,23:52,2023-12-18,00:00,4998.12,15.8,12,DESPACHADO,48.13333333333333
MOV-00356,B-009,ONE-PLATA,R-04,MUELLE-C,TRIGO,BUENOS AIRES,1900-01-01,22:28,2021-04-29,03:40,4668.22,6.8,10,EN_REVISION,
MOV-00357,B-020,EVER-GLORY,R-06,MUELLE-A,ACEITE,VALPARAISO,2022-06-07,13:50,2022-06-08,00:00,5049.92,9.3,15,PENDIENTE,10.166666666666666
MOV-00358,B-018,COSCO-STAR,R-04,MUELLE-E,HARINA,SHANGHAI,2023-09-12,08:50,2023-09-12,00:00,5932.73,12.6,12,RECHAZADO,
MOV-00360,B-033,CMA-LITORAL,,MUELLE-E,SOJA,SAO PAULO,2022-05-01,02:41,2022-05-03,00:00,4469.98,14.6,15,PENDIENTE,45.31666666666667
MOV-00361,B-033,ONE-PLATA,R-06,MUELLE-B,CONTENEDORES,SANTA FE,2020-06-07,07:36,2020-06-10,00:00,1917.76,19.1,10,PENDIENTE,64.4
MOV-00362,B-015,CMA-LITORAL,R-06,MUELLE-F,SOJA,SAO PAULO,2020-06-12,11:35,2020-06-15,10:39,4733.32,5.9,12,RECHAZADO,71.06666666666666
MOV-00363,B-027,MAERSK-PAMPAS,R-03,MUELLE-E,MINERALES,SAO PAULO,2022-05-07,08:48,2022-05-10,02:57,5151.36,11.6,10,PENDIENTE,66.15
MOV-00364,B-022,PIL-OESTE,R-02,MUELLE-F,GRANOS,BUENOS AIRES,2022-07-10,23:53,2022-07-13,16:32,7508.02,10.0,15,EN_REVISION,64.65
